solvent_smiles,pre_pro,Solvent_ID
O=CN1CCOCC1,0.8298,Solvent_342
O=C1CC[C@H]2CO[C@@H]1O2,0.8085,Solvent_231
CN(C)C(=O)N(C)C,0.7234,Solvent_1
FC1(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C1(F)F,0.6809,Solvent_142
O=C(OC(=O)C(F)(F)F)C(F)(F)F,0.6383,Solvent_147
OC(C(F)(F)F)C(F)(F)F,0.617,Solvent_148
FC(F)(F)c1ccccc1,0.5957,Solvent_35
Fc1c(F)c(F)c(C(F)(F)F)c(F)c1F,0.5745,Solvent_141
C1COCCO1,0.5745,Solvent_11
O=[N+]([O-])c1ccccc1,0.5532,Solvent_83
Fc1c(F)c(F)c(F)c(F)c1F,0.5532,Solvent_140
Fc1nc(F)c(F)c(F)c1F,0.5532,Solvent_306
CN1CCCCCC1=O,0.5319,Solvent_149
C1CCC2=NCCCN2CC1,0.5319,Solvent_156
CCN(CC)c1ccc2cc(C(=O)O)c(=O)oc2c1,0.5319,Solvent_325
CO[C@H]1CO[C@H]2[C@@H]1OC[C@H]2OC,0.5319,Solvent_127
O=C1OCCO1,0.5106,Solvent_290
CN(C)P(=O)(N(C)C)N(C)C,0.5106,Solvent_71
O=S1(=O)CCCC1,0.5106,Solvent_102
COC(=O)c1ccccc1C(=O)OC,0.4894,Solvent_292
