solvent_smiles,Cluster
CC(Cl)(Cl)Cl,13
CN(C)C(=O)N(C)C,16
CC(Cl)Cl,13
C=C(Cl)Cl,2
NCCN,3
Clc1ccccc1Cl,4
ClCCCl,13
COCCOC,3
OCCO,3
Cc1cc(C)cc(C)c1,4
Cc1ccc(C)cc1,4
C1COCCO1,6
CN1CCCC1=O,16
CC(C)C(=O)C(C)C,22
CC(C)CC(=O)CC(C)C,22
NCCO,3
COCCO,3
CCCC(C)C,15
CC1CCCO1,6
CCC(C)(C)O,3
CC(C)CO,3
CC(C)(C)O,3
CC(=O)C(C)(C)C,22
CC(=O)C(C)C,22
CC(C)CCO,3
CC(=O)CC(C)C,22
CC(=O)O,12
CC(=O)OC(C)=O,21
CC(C)=O,22
CC#N,3
CC(=O)c1ccccc1,4
Nc1ccccc1,14
COc1ccccc1,4
c1ccccc1,4
N#Cc1ccccc1,4
FC(F)(F)c1ccccc1,4
OCc1ccccc1,4
Brc1ccccc1,4
CCCCO,3
CCC(C)O,3
CCC(C)=O,22
CCCC#N,3
S=C=S,11
Clc1ccccc1,4
ClC(Cl)Cl,13
C1CCC2CCCCC2C1,19
C1CCCCC1,19
OC1CCCCC1,19
O=C1CCCCC1,22
COC1CCCC1,19
CCCCCCCCCC,7
ClCCl,13
CCOCC,3
CCNCC,3
CCOC(=O)OCC,21
OCCOCCO,3
CCOCCOCCOCC,1
COCCOCCOC,1
ICI,2
CC(C)OC(C)C,15
CS(C)=O,3
CCCCOCCCC,15
CCCOCCC,15
c1ccc(Oc2ccccc2)cc1,0
CCO,3
CCOC(C)=O,21
CCOc1ccccc1,4
Fc1ccccc1,4
NC=O,3
O=CO,3
OCC(O)CO,3
CN(C)P(=O)(N(C)C)N(C)C,1
Ic1ccccc1,4
CC(=O)OCC(C)C,21
CC(=O)OC(C)C,21
CO,3
COC(C)=O,21
C1COCCN1,6
CC(=O)N(C)C,3
CN(C)C=O,3
CCCCOC(C)=O,21
CCCCCCC,15
CCCCCC,15
O=[N+]([O-])c1ccccc1,10
C[N+](=O)[O-],10
CNC(C)=O,3
CNC=O,3
CCCCCCCCC,15
CCCCCCCC,15
CCCCC,15
CCCCCO,3
CCCC(C)O,3
CCCC(C)=O,22
CCC(O)CC,3
CCC(=O)CC,22
C1CCNCC1,6
CCCO,3
CC(C)O,3
CCC(=O)O,12
CCC#N,3
c1ccncc1,18
c1ccc2ncccc2c1,18
O=S1(=O)CCCC1,6
COC(C)(C)C,15
ClC(Cl)=C(Cl)Cl,13
ClC(Cl)(Cl)Cl,13
OCCOCCOCCOCCO,1
C1CCOC1,6
c1ccc2c(c1)CCCC2,4
Cc1ccccc1,4
CCCCN(CCCC)CCCC,7
ClC=C(Cl)Cl,13
CCN(CC)CC,15
OCCOCCOCCO,1
COCCOCCOCCOC,1
O,3
CN(C)c1ccccc1,4
CC1CCCCC1,19
CN1CCCN(C)C1=O,16
CN1CCN(C)C1=O,16
CCN1CCCC1=O,16
CCC(C)(C)OC,15
C1COCO1,6
CCOC(=O)C(C)O,21
COCC(C)OC,15
CC1COC(=O)O1,6
COC(=O)OC,21
CO[C@H]1CO[C@H]2[C@@H]1OC[C@H]2OC,6
COC(OC)(OC)OC,1
OCC(F)(F)F,3
CC1=CC(=O)CC(C)(C)C1,22
CC1CCCCC1=O,22
CCOCCOC(C)=O,21
CCOC(=O)CC(C)=O,22
Cc1ccccn1,18
Cc1cccc(C)n1,18
OCCN(CCO)CCO,1
C1CSCS1,6
COS(=O)OC,21
O=S1OCCO1,6
Fc1c(F)c(F)c(F)c(F)c1F,8
Fc1c(F)c(F)c(C(F)(F)F)c(F)c1F,8
FC1(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C1(F)F,17
Cc1ccc(C(C)C)cc1,4
Clc1cccc(Cl)c1,4
O=S1CCCC1,6
O=C(O)C(F)(F)F,12
O=C(OC(=O)C(F)(F)F)C(F)(F)F,21
OC(C(F)(F)F)C(F)(F)F,21
CN1CCCCCC1=O,16
CCN(CC)S(=O)(=O)N(CC)CC,1
CN(C)P(C)(=O)N(C)C,1
COC(C)(C)OC,15
CC1(C)OCC(CO)O1,6
C=C(C)C1CC=C(C)CC1,19
CC1CCC(=O)O1,6
C1CCC2=NCCCN2CC1,6
CCN(C(C)C)C(C)C,15
Cl/C=C/Cl,2
Cl/C=C\Cl,2
CCOCCO,3
CCCCC(C)=O,22
COC=O,3
CCOC=O,3
CCCOC=O,21
CCCCOC=O,21
COC(=O)CCCCC(=O)OC,21
CC(=O)OCCC(C)C,21
CCCCCCOC(C)=O,21
CC(=O)OCCOC(C)=O,21
O=C1CCCO1,6
COC(OC)OC,21
CCOC(OCC)OCC,1
CC1(C)OCCO1,6
CC(=O)CC(C)=O,22
CCC1CCCCC1,19
CCCCCC#N,3
CCCCCOC(C)=O,21
CCC(=O)OC,21
CCCC(=O)OC,21
CCCCC(=O)CCCC,22
c1ccc2c(c1)CCC2,4
c1cncnc1,18
c1ccnnc1,18
C1CCCC1,19
CCCCCCCCCO,15
CCCNCCC,15
C1CCNC1,6
CC(=O)CC(C)(C)O,22
O=C1CCCC1,22
O=C(OCc1ccccc1)c1ccccc1,0
CCCCNCCCC,15
CCCCCCCO,15
N#CCCCCC#N,3
CCCCCCO,15
CCCCCN,3
c1ccsc1,2
C1CCSC1,6
c1ccoc1,4
c1cc[nH]c1,20
