tsne_1,tsne_2,cluster,label,solvent_smiles
-12.384084,12.472737,10,Unknown,CC(Cl)(Cl)Cl
-2.139782,-19.222141,11,Good,CN(C)C(=O)N(C)C
-13.52348,10.650638,10,Unknown,CC(Cl)Cl
-10.70727,12.495333,10,Unknown,C=C(Cl)Cl
-5.6667423,-10.522122,6,Unknown,NCCN
-7.509442,16.786205,13,Unknown,Clc1ccccc1Cl
-13.326202,10.767155,10,Unknown,ClCCCl
-3.0181324,-0.7601443,9,Unknown,COCCOC
3.0292802,-6.0244355,9,Unknown,OCCO
-2.5336607,19.367489,7,Unknown,Cc1cc(C)cc(C)c1
-2.9544888,18.44065,7,Unknown,Cc1ccc(C)cc1
-10.859685,-4.457361,22,Unknown,C1COCCO1
1.5340414,-21.045443,11,Good,CN1CCCC1=O
4.336287,-14.001804,14,Unknown,CC(C)C(=O)C(C)C
4.325211,-13.386724,14,Unknown,CC(C)CC(=O)CC(C)C
-4.100131,-10.104372,6,Unknown,NCCO
1.293334,-5.08337,9,Unknown,COCCO
-5.6416774,4.859672,22,Unknown,CCCC(C)C
-10.545122,-2.9819179,22,Unknown,CC1CCCO1
-1.4810166,-2.7062979,9,Unknown,CCC(C)(C)O
-1.5913378,-4.871053,9,Unknown,CC(C)CO
-1.5899006,-10.28475,9,Unknown,CC(C)(C)O
4.9026957,-15.055161,14,Unknown,CC(=O)C(C)(C)C
5.427619,-15.516894,14,Unknown,CC(=O)C(C)C
-1.5104611,-3.6807735,9,Unknown,CC(C)CCO
5.569806,-14.613476,14,Unknown,CC(=O)CC(C)C
19.52082,-13.906454,18,Unknown,CC(=O)O
14.84059,-8.666811,15,Unknown,CC(=O)OC(C)=O
6.5055923,-16.58241,14,Unknown,CC(C)=O
-12.713213,-13.098736,16,Unknown,CC#N
1.1312877,15.677252,7,Unknown,CC(=O)c1ccccc1
0.11691226,26.400423,13,Unknown,Nc1ccccc1
4.915345,21.906712,2,Unknown,COc1ccccc1
-3.8120155,17.171558,13,Unknown,c1ccccc1
-1.7322174,14.039681,16,Unknown,N#Cc1ccccc1
-0.4395559,16.517271,7,Unknown,FC(F)(F)c1ccccc1
0.69758505,17.980637,7,Unknown,OCc1ccccc1
-6.6632314,16.762234,13,Unknown,Brc1ccccc1
-0.27178013,-4.4972925,9,Unknown,CCCCO
-0.50638133,-4.9447675,9,Unknown,CCC(C)O
6.539435,-16.03573,14,Unknown,CCC(C)=O
-13.380653,-12.896914,16,Unknown,CCCC#N
-11.766048,8.884551,10,Unknown,S=C=S
-5.643288,16.801754,13,Unknown,Clc1ccccc1
-12.295676,12.36204,10,Unknown,ClC(Cl)Cl
-16.374815,-2.5012798,4,Unknown,C1CCC2CCCCC2C1
-19.030571,-2.116028,22,Unknown,C1CCCCC1
-18.288797,-4.0460696,22,Unknown,OC1CCCCC1
-18.320898,0.7413286,14,Unknown,O=C1CCCCC1
-18.52434,-3.679481,22,Unknown,COC1CCCC1
